,Recipe_title,servings,ingredients,stars,Num_of_reviews
688,Molten Lava Cake with Whipped Cream,6 servings,"['2 tablespoons plus 1 stick (8 tablespoons) unsalted butter', 'Granulated sugar, for coating the ramekins\\xa0', '3 ounces semisweet chocolate chips\\xa0', ""1 1/2 cups confectioners\\' sugar, plus a little more for dusting\\xa0"", '1 teaspoon vanilla extract\\xa0', '3 large eggs, plus 3 yolks\\xa0', '1/2 cup all-purpose flour\\xa0', '2 cups heavy whipping cream, cold\\xa0']",5,3
689,Rum Cakes,6 servings,"['1 tablespoon active dry yeast', '1/3 cup warm milk', '1 cup all-purpose flour', '2 eggs', '5 tablespoons unsalted butter, softened, plus additional for buttering molds', 'Pinch salt', '1 teaspoon sugar', 'Blood Orange Marmalade, recipe follows', '1 cup whipped mascarpone, for garnish', '1 cup sugar', '3/4 cup water', '1 teaspoon vanilla extract', '1/4 cup dark rum\xa0', '24 blood oranges', '8 Meyer lemons', '2 star anise', 'Water, measured according to weight of fruit, approximately 5 pints', '2 vanilla beans, split and scraped', '1 cinnamon stick', 'Sugar, measured according to weight of fruit, approximately 5 pounds']",3,1
690,Ice Cream Flag Cake,12 to 14 servings,"['Cooking spray', '1 16-to-18-ounce box white cake mix (plus required ingredients)', '2 tablespoons unsweetened cocoa powder', '28 drops royal blue gel food coloring', '4 drops violet gel food coloring', 'Unsalted butter, for the pan', '3 pints raspberry sorbet', '2 1/2 pints vanilla ice cream', '2 pints heavy cream', ""1/4 cup confectioners\\' sugar""]",3.5,8
691,Matcha Monster Bundt Cake,8 servings,"['Butter, for greasing the pan', '2 1/2 cups all-purpose flour, plus more for dusting the pan\\xa0', '1 3/4 cups sugar', '1 1/2 teaspoons baking soda\\xa0', '1 teaspoon kosher salt\\xa0', '2/3 cup brewed coffee\\xa0', '1/2 cup unrefined coconut oil', '1/3 cup unsweetened cocoa powder', '4 ounces semisweet chocolate, chopped\\xa0', 'One 14-ounce can coconut milk\\xa0', '1 teaspoon vanilla\\xa0', '2 large eggs, lightly beaten\\xa0', '16 ounces white chocolate, chopped (or white chocolate chips)', '2 teaspoons cooking-grade matcha\\xa0', 'Candy eyeballs, for decorating\\xa0']",4.5,4
692,Ultimate Vanilla Cake,8 to 10 servings,"['2 sticks unsalted butter, at room temperature', 'Pinch of salt', ""3 cups confectioners' sugar"", '1 tablespoon vanilla extract', '1 to 2 tablespoons milk', 'Basic Vanilla Cake, recipe follows, baked and cooled', 'Sprinkles, for decorating', '2 sticks unsalted butter, at room temperature, plus more for the pans', '3 cups all-purpose flour, plus more for the pans', '1 tablespoon baking powder', '1/2 teaspoon salt', '1 1/2 cups sugar', '4 large eggs, at room temperature', '1 tablespoon vanilla extract', '3/4 cup heavy cream']",2.5,6
693,Watermelon Cake,12 servings,"['Cooking spray, for the pans', '1 cup all-purpose flour, plus more for the baking pans', '1 cup chocolate chips', 'Two 14.25-ounce boxes strawberry cake mix', '6 large eggs', '2/3 cup vegetable oil', 'Red food coloring, for tinting the cake batter', 'Two 16-ounce tubs vanilla frosting', 'Green food coloring, for tinting the frosting', 'Green fruit roll-up candy or fruit leather, such as Rip Rolls, Fruit Roll-Ups or Joray Fruit Rolls, cut into strips if necessary, for wrapping the cake', '1 round black or brown licorice candy']",,
694,"Throwdown's German Chocolate Cake with Coconut-Pecan-Cajeta Frosting, Chocolate Ganache and Coconut Whipped Cream",1 (9-inch) cake,[],4.5,91
695,Turtle Cake,6 servings,"['1 cup white sugar', '1 teaspoon ground cinnamon\xa0', '1 teaspoon salt\xa0', '1 egg white\xa0', '1 tablespoon water\xa0', '1 pound pecan halves\xa0', '1 3/4 cups all-purpose flour', '1 cup white sugar', '1/4 cup black cocoa\xa0', '1/2 cup unsweetened Dutch-process cocoa powder\xa0', '1 1/2 teaspoons baking powder\xa0', '1 1/2 teaspoons baking soda\xa0', '1 teaspoon salt\xa0', '1 1/4 cups buttermilk\xa0', '1 cup packed light brown sugar\xa0', '1/4 cup canola oil\xa0', '2 teaspoon pure vanilla extract\xa0', '2 large eggs, lightly beaten\xa0', '1 cup hot instant coffee\xa0', '4.2 ounces pasteurized egg whites', '1 pound powdered sugar\xa0', '2 pounds (8 sticks) unsalted butter, softened\xa0', '2 tablespoons vanilla extract\xa0', ""8 ounces butterscotch caramel (see Cook's Note)"", '300 milliliters heavy whipping cream', '600 grams dark chocolate, chopped']",,
696,Upsidedown Hazelnut Banana Cake,2 cups,"['1/3 pound hazelnuts', '1 cup sugar', '8 tablespoons unsalted butter (1 stick)', '2 eggs', '1 cup sour cream', '2 teaspoons vanilla extract', '1/2 cup banana puree, from 1 or 2 bananas', '1 3/4 cups all-purpose flour', '2 teaspoons baking powder', '1 teaspoon salt', 'Hazelnut schmear, recipe follows', 'Whole bananas', '3/4 cup butter', '1/2 pound dark brown sugar', '1/2 cup chopped toasted hazelnuts']",4,21
697,Maple Angel Food Cake,1 large or 6 miniature bundt cakes,"['1 1/2 cups egg whites (from about 12 eggs), at room temperature', '1 1/4 teaspoons cream of tartar', '1/2 teaspoon salt', '1 1/4 cups sugar', '1 1/8 cups cake flour, sifted', '1 teaspoon pure vanilla extract', '3 tablespoons pure maple syrup', 'Glaze, recipe follows', '1/4 cup pure maple syrup', '1 tablespoon egg whites', ""1 1/2 cups confectioners' sugar""]",5,7
698,Tiramisu Pudding Cakes,6 servings,"['1 stick unsalted butter, cut into small pieces, plus more for the dish', '1/2 cup whole milk', '1 cup granulated sugar', '1 tablespoon pure vanilla extract', '1/4 teaspoon salt', '1 1/4 cups all-purpose flour', '2 teaspoons baking powder', '1/4 cup packed light brown sugar', '2 tablespoons unsweetened cocoa powder, plus more for dusting', '2 tablespoons instant espresso powder', '1 1/4 cups hot water', '2 tablespoons coffee liqueur or dark rum (optional)', ""Confectioners\\' sugar, for dusting""]",5,2
699,Super-Chewy Chocolate Chip Cookies,about 30 cookies,"['2 1/4 cups cake flour', '1 teaspoon baking soda', '1 teaspoon fine salt', '1 1/2 sticks (12 tablespoons) unsalted butter, at room temperature', '3/4 cup packed light brown sugar', '2/3 cup granulated sugar', '2 large eggs', '1 teaspoon pure vanilla extract', 'One 12-ounce bag semisweet chocolate chips']",5,8
700,Marble Snacking Cake with Chocolate Frosting,10 to 12 servings,"['Nonstick cooking spray, for the baking pan', '4 ounces semisweet chocolate, finely chopped', ""3 cups all-purpose flour (see Cook's Note)"", '2 teaspoons baking powder', '1 teaspoon baking soda', '1 teaspoon kosher salt', '1 3/4 cups granulated sugar', '2 sticks (1 cup) unsalted butter, at room temperature', '1/4 cup canola oil', '1 tablespoon pure vanilla extract', '3 large eggs, at room temperature', '1 1/2 cups whole milk']",,
701,Rosemary-Thyme Angel Food Cake with Pineapple Compote,8 to 10 servings,"['1 cup cake flour', '1 3/4 cups superfine sugar\xa0', '1/2 teaspoon salt', '12 large egg whites, at room temperature\xa0', '1 1/2 teaspoons cream of tartar\xa0', 'Finely grated zest of 2 lemons', '1 1/2 teaspoons pure vanilla extract', '2 teaspoons finely chopped fresh rosemary\xa0', '2 tablespoons finely chopped fresh thyme', '1/2 cup packed light brown sugar', '1/2 cup dark rum', '1 sprig rosemary', '1 sprig thyme', '1 medium pineapple, peeled, cored and cut into 1/2-inch pieces', '2 teaspoons pure vanilla extract']",4,2
702,German Chocolate 6-Layer Cake,8 to 10 slices,"['4 ounces bittersweet chocolate, chopped', '2 cups sugar', '1 cup (2 sticks) butter, plus additional for greasing cake pans', '4 eggs, separated', '2 1/2 cups all-purpose flour', '1 teaspoon baking soda', '1 teaspoon salt', '1 cup buttermilk']",,
703,Bourbon Honey Cake,12 to 16 slices of cake,"['1 cup vegetable oil, plus extra for the pan', '3 3/4 cups all-purpose flour, plus extra for the pan', '1 1/2 cups granulated sugar', '1 cup honey', '1/2 cup light brown sugar, lightly packed', '3 extra-large eggs, at room temperature', '2 teaspoons grated orange zest (2 oranges)', '1 teaspoon pure vanilla extract', '1 tablespoon baking powder', '1 teaspoon baking soda', '4 teaspoons ground cinnamon', '1 teaspoon kosher salt', '1/2 teaspoon ground cloves', '1/2 teaspoon ground allspice', '1/2 teaspoon ground ginger', '1 cup hot coffee', '1/2 cup freshly squeezed orange juice (2 oranges)', ""1/4 cup good bourbon, such as Maker\\'s Mark"", '1/2 cup blanched sliced almonds']",5,1
704,Spicy Texas Sheet Cake,12 servings,"['2 sticks (1 cup) unsalted butter, plus more for the dish', '2 dried guajillo chile peppers, stems removed', '2 cups all-purpose flour', '1 cup granulated sugar', '2/3 cup packed dark brown sugar', '1/2 teaspoon salt', '1/2 teaspoon baking powder', '1/4 cup unsweetened cocoa powder', '1/2 cup buttermilk', '2 large eggs', '2 teaspoons pure vanilla extract', '1 teaspoon baking soda']",5,1
705,Funnel Cake Bites with Strawberry Sauce,about 28 bites,"['1 3/4 cups all-purpose flour', '1 teaspoon baking powder\xa0', '1/4 teaspoon kosher salt\xa0', '1 cup whole milk, at room temperature\xa0', '4 tablespoons unsalted butter, melted\xa0', '2 large eggs, at room temperature\xa0', '1 tablespoon granulated sugar\xa0', '1 teaspoon vanilla\xa0extract', 'Canola oil, for frying\xa0', 'Confectioners’ sugar, for dusting\xa0', 'Strawberry Sauce, for serving, recipe follows', 'Chocolate hazelnut spread, warmed, for serving', '2 pints strawberries, hulled and halved', '1/2 cup granulated sugar\xa0', '2 teaspoons lemon juice\xa0']",4,1
706,Devil's Food Cake,14 servings,"['1 cup very hot water (8 fluid ounces)', '2 ounces semisweet baking chocolate, finely chopped\xa0', '1 tablespoon instant coffee powder\xa0', '400 grams (14.1 ounces) granulated sugar\xa0', '100 grams (3.5 ounces) Dutch process cocoa powder\xa0', '220 grams (7.75 ounces) all-purpose flour\xa0', '1/2 tablespoon baking soda\xa0', '1 1/4 teaspoons baking powder\xa0', '3/4 teaspoon salt\xa0', '8 ounces buttermilk\xa0', '4 1/2 fluid ounces vegetable oil\xa0', '2 large eggs\xa0', '2 teaspoons pure vanilla extract\xa0', '4 sticks (2 cups) unsalted butter, softened', ""28 ounces sifted confectioners' sugar\xa0"", '3 tablespoons milk, plus teaspoons for thinning as needed', '2 teaspoons vanilla extract\xa0', 'Pinch of salt\xa0', '3/4 cup creamy natural-style peanut butter\xa0']",5,1
707,Cinnamon Apple Cake,12 Servings,"['2 cups granulated sugar', '2 cups all-purpose flour\xa0', '2 teaspoons baking soda\xa0', '2 teaspoons Spice Islands® Ground Saigon Cinnamon', '1/2 teaspoon salt', '2 eggs, beaten', '4 cups finely chopped unpeeled apple', '1/2 cup Mazola® Corn Oil', '2 teaspoons Spice Islands® Pure Vanilla Extract', '1/2 cup brown sugar', '1 teaspoon Spice Islands® Ground Saigon Cinnamon', '1/2 cup butter OR margarine', '1/2 cup brown sugar', '1/2 cup granulated sugar', '2/3 cup evaporated milk', '1/2 teaspoon Spice Islands® Ground Saigon Cinnamon', '1 teaspoon Spice Islands® Pure Vanilla Extract']",,
708,Mini Espresso Cakes with Peanut Butter Frosting,4 mini loaves,"['2 1/2 cups all-purpose flour, plus extra for pans', '1/2 heaping teaspoon baking powder', '1/2 teaspoon baking soda', '1/4 teaspoon salt', '1 cup sour cream', '1/4 cup instant espresso powder', '2 sticks butter, softened, plus extra for pans', '1 1/2 cups sugar', '2 eggs, plus 2 yolks', '1 teaspoon vanilla extract', '1 stick butter, softened', '1/2 cup creamy peanut butter', ""1 cup confectioners' sugar""]",4.5,39
709,Ice Cream Lasagna,9 servings,"['1 vanilla pound cake or loaf cake', '2 quarts vanilla ice cream, softened\xa0', 'Strawberry Sauce, recipe follows', '2 1/2 cups chocolate rice puff cereal\xa0', '1/2 cup grated white chocolate\xa0', '3/4 cup strawberry preserves', 'Juice of 1 lemon\xa0', '1 quart strawberries, hulled and halved (or quartered if they are large)']",5,3
710,Black Magic Cake,8 to 10 servings,"['2/3 cup vegetable oil, plus more for greasing the baking pans', '1 cup Dutch-process cocoa powder', '1 cup boiling water', '2 cups granulated sugar', ""1 3/4 cups all-purpose flour (see Cook's Note)"", '2 teaspoons baking powder', '1 teaspoon fine salt', '1 cup whole milk', '2 large eggs', '1 tablespoon pure vanilla extract']",3.5,5
711,Coconut Mirror Glaze Cake,10 to 12 serving,"['14 tablespoons unsalted butter, at room temperature, plus more for the pans', '2 1/2 cups cake flour, plus more for the pans', '3/4 cup canned coconut milk, well shaken', '1/2 cup water', '1 teaspoon vanilla bean paste', '1/2 teaspoon coconut extract', '1 tablespoon baking powder', '3/4 teaspoon salt', '1 1/3 cups granulated sugar', '4 large egg whites, at room temperature']",,
712,Three-Layer Carrot Cake,12 to 16 servings,"['2 cups all-purpose flour, sifted after measuring', '1 teaspoon salt', '2 teaspoons baking soda', '1 tablespoon ground Ceylon cinnamon', '1 tablespoon cocoa powder', '1 cup light brown sugar', '1 cup granulated sugar', '1 1/4 cups peanut oil', '4 eggs', '1 tablespoon vanilla extract', '3 cups finely grated carrots', '1 1/2 cups pecans, chopped, not too finely', 'Frosting, recipe follows']",4.5,20
713,Bourbon Triple Chocolate Cake,12 servings,"['Nonstick baking spray', '2 2/3 cups all-purpose flour\xa0', '3/4 cup granulated sugar\xa0', '1/3 cup light brown sugar\xa0', '1/4 cup Dutch-process cocoa powder\xa0', '2 teaspoons baking powder\xa0', '1 teaspoon baking soda\xa0', '1/2 teaspoon fine salt\xa0', '3 large eggs\xa0', '1/2 cup plus 2 tablespoons sour cream\xa0', '1 tablespoon vanilla extract\xa0', '12 tablespoons (1 1/2 sticks) unsalted butter, melted and cooled\xa0', '1/2 cup vegetable oil\xa0', '1 cup strong brewed coffee, cooled\xa0', '1/3 cup bourbon whiskey\xa0', '4 ounces unsweetened baking chocolate', '2 sticks (1 cup) salted butter, at room temperature', '1 1/2 cups granulated sugar\xa0', '1 teaspoon vanilla extract\xa0', '4 large eggs\xa0', '2 cups chopped\xa0bittersweet chocolate', '2 cups heavy cream\xa0']",,
714,Deluxe Chocolate Cake,Two 8-inch layers,"['2 cups (200 grams) sifted cake flour', '1 teaspoon baking soda', '1/4 teaspoon salt', '1/2 cup (50 grams) unsifted cocoa powder', '1/2 cup lukewarm water', '1/2 cup buttermilk, room temperature', '1/2 cup water', '2 teaspoons vanilla', '2 large eggs, room temperature', '4 ounces (1 stick) unsalted butter, room temperature', '1 cup (200 grams) granulated sugar', '1 cup (200 grams) light brown sugar, packed', '8 ounces semisweet or bittersweet chocolate, finely chopped', '1 cup heavy cream', '1 cup heavy cream, whipped', '10 ounces semisweet chocolate, finely chopped', '1 cup heavy cream']",5,42
715,Carrot Cake Cheesecake,Varies,"['1 box Duncan Hines® Decadent Carrot Cake', '1 cup hot tap water (for soaking carrots and raisins)', '2 eggs', '1/4 cup vegetable oil', '8 1/2 oz can crushed pineapple, packed in juice, drained well', '1/2 cup coconut (optional)', '1/2 cup chopped walnuts', '2 (8oz) packages cream cheese', '3/4 cup sugar', '2 1/2 teaspoons of vanilla extract', '3 eggs', '1 tub Duncan Hines® Creamy Home-Style Cream Cheese Frosting']",4,5
716,The Apple Lady's Apple Cake (Gateau aux Pommes de la Reine des Pommes),8 servings,"['1/2 cup all-purpose flour', '1/3 cup sugar', '1 tablespoon baking powder', '1/8 teaspoon fine sea salt', '1/2 teaspoon pure vanilla extract', '2 large eggs, lightly beaten', '2 tablespoons vegetable oil', '1/3 cup whole milk', '4 baking apples (about 2 lbs. total), cored, peeled, and cut into wedges', '1/3 cup sugar', '1 large egg, lightly beaten', '3 tablespoons unsalted butter, melted']",5,32
717,Mini Vanilla Bean Yellow Cupcakes with Creamy Chocolate Frosting,90 mini cupcakes,"['Baking spray with flour', '2 1/2 cups cake flour', '1 1/4 teaspoons baking powder', '1/4 teaspoon baking soda', '1/2 teaspoon fine sea salt', '1 3/4 cups pure cane sugar', '1 1/4 sticks (5 ounces) unsalted butter, melted and cooled slightly', '1 cup buttermilk, at room temperature', '3 tablespoons vegetable oil', '2 teaspoons vanilla extract', '1 vanilla bean, split and seeds scraped', '6 large egg yolks, room temperature', '3 large egg whites, room temperature', 'Creamy Chocolate Frosting, recipe follows']",5,52
718,Individual Strawberry Trifles,2 servings,"['1 quart fresh strawberries, halved', '1/3 cup aged balsamic vinegar', '3 cups heavy cream', '2 teaspoons vanilla extract', ""1/4 cup confectioners' sugar"", '1 (1 pound) fresh pound cake', '1/3 cup amaretto liqueur', '2 amaretto cookies, for garnish', 'Demerara sugar, for garnish']",5,51
719,Easy Sticky-Toffee Dessert,6 to 8 servings,"['Butter, for baking dish plus 1/4 cup, melted', 'Scant 1/3 cup dark brown sugar, packed', '1 cup plus 2 tablespoons self-rising flour', '1/2 cup whole milk', '1 egg', '1 teaspoon vanilla extract', '3/4 cup plus 2 tablespoons chopped, rolled dates', '3/4 cup dark brown sugar, packed', 'Approximately 2 tablespoons unsalted butter in little blobs', '2 1/4 cups boiling water']",4.5,25
720,Ginger-Rum Bundt Cake,10 to 12 servings,"['1 cup toasted pecans, finely chopped', '3 cups all purpose flour', '2 teaspoons baking powder', '1 teaspoon table salt', '3/4 cup whole milk, room temperature', '1 tablespoon freshly grated ginger', '1 tablespoon vanilla extract', '2 sticks unsalted butter, room temperature', '1 cup granulated sugar', '1 cup packed golden brown sugar', '3 large eggs, room temperature', '2 large egg yolks, room temperature', '1 cup dark rum', '1/4 cup water', '1/2 cup granulated sugar', '1 tablespoon freshly grated ginger']",4.5,11
721,Apple Spice Cake with Cream Cheese Icing,6 servings,"['1/2 stick butter, plus extra for loaf pan', '3 Granny Smith apples, peeled and cored, cut into 1/2-inch dice and tossed with a little lemon juice', '1/2 lemon, juiced', '1 cup apple cider', '1 3/4 cups all-purpose flour, plus extra for loaf pan', '1 teaspoon ground cinnamon', '1 teaspoon baking soda', '3 or 4 grates fresh nutmeg (about 1/2 teaspoon)', '3/4 cup brown sugar', '3/4 cup sugar', 'Pinch kosher salt', '1 egg', '1 teaspoon vanilla extract', '1/2 cup toasted and chopped walnuts', '1/2 cup golden raisins', 'Cream Cheese Icing, recipe follows', 'One 8-ounce package cream cheese, at room temperature', '1 stick butter, at room temperature', '1 cup powdered sugar', '1 teaspoon vanilla extract', '1/2 lemon, juiced']",4,28
